"Best Solution","Depth","Size","Fitness","Evals","Avg. Fitness","Time (s)"
"(+ 3 (* x x))",3,5,810,1001,1555.21,
"(+ 3 (* x x))",3,5,810,1002,1555.18,
"(+ 3 (* x x))",3,5,810,1003,1555.11,
"(+ 3 (* x x))",3,5,810,1004,1555.04,
"(+ 3 (* x x))",3,5,810,1005,1554.96,
"(+ 3 (* x x))",3,5,810,1006,1554.19,
"(+ 3 (* x x))",3,5,810,1007,1553.96,
"(+ (* x x) (+ 5 x))",3,7,768,1008,1553.12,
"(+ (* x x) (+ 5 x))",3,7,768,1009,1552.99,
"(+ (* x x) (+ 5 x))",3,7,768,1010,1552.93,
"(+ (* x x) (+ 5 x))",3,7,768,1011,1552.86,
"(+ (* x x) (+ 5 x))",3,7,768,1012,1552.55,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1013,1551.66,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1014,1551.59,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1015,1551.59,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1016,1551.59,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1017,1551.51,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1018,1551.39,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1019,1551.3,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1020,1551.05,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1021,1551.03,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1022,1550.66,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1023,1550.66,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1024,1550.51,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1025,1550.41,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1026,1550.05,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1027,1549.93,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1028,1549.06,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1029,1549.06,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1030,1549.01,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1031,1548.7,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1032,1548.45,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1033,1548.36,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1034,1548.28,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1035,1548.16,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1036,1547.95,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1037,1547.14,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1038,1547.04,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1039,1546.96,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1040,1546.64,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1041,1546.56,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1042,1546.41,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1043,1546.2,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1044,1546.13,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1045,1546.13,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1046,1546.09,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1047,1545.95,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1048,1545.76,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1049,1545.72,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1050,1545.65,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1051,1545.53,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1052,1545.44,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1053,1545.27,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1054,1545.16,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1055,1545.08,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1056,1544.86,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1057,1544.55,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1058,1544.44,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1059,1544.34,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1060,1544.27,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1061,1544.23,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1062,1544.03,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1063,1543.94,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1064,1543.89,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1065,1543.64,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1066,1542.87,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1067,1542.75,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1068,1542.75,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1069,1542.58,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1070,1542.5,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1071,1542.35,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1072,1542.06,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1073,1541.77,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1074,1541.49,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1075,1541.41,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1076,1541.31,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1077,1540.96,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1078,1540.88,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1079,1540.8,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1080,1540.59,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1081,1540.24,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1082,1540.15,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1083,1539.88,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1084,1539.86,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1085,1539.78,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1086,1539.4,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1087,1539.29,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1088,1539.2,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1089,1538.96,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1090,1538.63,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1091,1538.63,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1092,1538.51,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1093,1538.43,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1094,1538.28,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1095,1538.28,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1096,1537.92,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1097,1537.71,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1098,1536.9,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1099,1536.65,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1100,1536.6,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1101,1536.55,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1102,1536.55,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1103,1536.3,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1104,1536.28,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1105,1535.96,
"(+ 5 (+ (* x x) (+ 5 x)))",4,9,721,1106,1535.61,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1107,1534.45,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1108,1534.26,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1109,1534.2,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1110,1534.12,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1111,1534.05,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1112,1533.8,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1113,1533.61,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1114,1533.29,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1115,1532.43,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1116,1531.59,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1117,1531.59,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1118,1530.81,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1119,1530.81,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1120,1530.7,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1121,1530.68,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1122,1530.68,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1123,1530.43,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1124,1530.34,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1125,1530.34,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1126,1529.96,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1127,1529.17,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1128,1529.1,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1129,1529.08,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1130,1529,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1131,1528.71,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1132,1528.63,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1133,1528.48,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1134,1528.16,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1135,1527.82,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1136,1527.68,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1137,1527.37,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1138,1527.18,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1139,1527.18,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1140,1526.9,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1141,1526.82,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1142,1526.65,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1143,1526.27,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1144,1526.12,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1145,1526.05,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1146,1526.05,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1147,1526.05,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1148,1525.74,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1149,1525.66,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1150,1524.8,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1151,1524.54,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1152,1524.54,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1153,1523.64,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1154,1523.42,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1155,1523.1,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1156,1522.77,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1157,1522.52,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1158,1522.52,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1159,1522.52,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1160,1522.38,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1161,1522.01,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1162,1521.8,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1163,1521.8,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1164,1521.74,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1165,1521.74,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1166,1521.66,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1167,1521.34,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1168,1520.99,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1169,1520.99,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1170,1520.76,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1171,1520.76,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1172,1520.55,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1173,1520.47,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1174,1520.47,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1175,1520.47,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1176,1520.36,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1177,1520.32,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1178,1519.43,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1179,1519.38,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1180,1518.52,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1181,1518.52,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1182,1518.23,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1183,1518.16,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1184,1517.39,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1185,1517.31,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1186,1516.48,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1187,1516.19,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1188,1515.43,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1189,1515.05,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1190,1514.81,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1191,1514.05,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1192,1514.05,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1193,1513.3,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1194,1513.3,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1195,1512.96,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1196,1512.96,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1197,1512.02,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1198,1511.12,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1199,1510.79,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1200,1510.72,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1201,1510.64,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1202,1510.56,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1203,1509.79,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1204,1509.02,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1205,1508.8,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1206,1508.44,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1207,1508.34,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1208,1507.53,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1209,1507.25,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1210,1507.19,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1211,1507.11,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1212,1506.26,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1213,1505.36,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1214,1504.31,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1215,1504.31,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1216,1504.31,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1217,1503.41,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1218,1503.33,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1219,1503.01,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1220,1503.01,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1221,1502.14,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1222,1502.14,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1223,1501.74,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1224,1501.59,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1225,1501.52,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1226,1500.74,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1227,1500.74,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1228,1499.88,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1229,1499.76,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1230,1498.99,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1231,1498.7,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1232,1498.62,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1233,1498.62,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1234,1497.81,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1235,1497.81,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1236,1497.77,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1237,1496.99,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1238,1496.99,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1239,1496.99,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1240,1496.94,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1241,1496.18,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1242,1495.84,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1243,1495.74,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1244,1494.97,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1245,1494.85,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1246,1494.85,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1247,1494.79,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1248,1494.79,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1249,1494.79,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1250,1494.64,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1251,1494.58,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1252,1494.44,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1253,1494.09,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1254,1494.09,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1255,1494.09,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1256,1494.09,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1257,1493.32,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1258,1493.12,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1259,1492.81,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1260,1492.66,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1261,1492.56,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1262,1492.44,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1263,1492.44,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1264,1492.44,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1265,1492.44,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1266,1491.67,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1267,1491.67,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1268,1491.6,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1269,1491.53,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1270,1490.68,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1271,1489.88,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1272,1489.88,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1273,1489.88,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1274,1489.72,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1275,1488.9,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1276,1488.65,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1277,1487.78,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1278,1487.7,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1279,1486.83,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1280,1486.56,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1281,1485.75,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1282,1484.92,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1283,1484.53,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1284,1483.68,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1285,1482.81,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1286,1482.61,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1287,1482.61,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1288,1482.19,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1289,1481.38,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1290,1481.31,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1291,1480.94,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1292,1480.17,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1293,1480.17,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1294,1479.85,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1295,1479.79,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1296,1478.94,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1297,1478.94,
